Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,Chl
2016-08-09,CTD1,4187246,695025,0.1166,0.088,0.0713,0.0427,0.0373,0.0259,0.024,0.0213,0.0194,0.0065,0.0005,0.0092,0.0075,11.46
2016-08-09,CTD2,4181518,693105,0.1218,0.0926,0.0705,0.0474,0.0417,0.0341,0.0324,0.0287,0.028,0.0088,0.0007,0.0175,0.0145,12.21
2016-08-09,CTD3,4181698,695238,0.1208,0.0931,0.0698,0.0482,0.0416,0.0344,0.0333,0.03,0.0293,0.0088,0.0007,0.0188,0.0145,11.75
2016-08-09,CTD4,4180266,698264,0.1283,0.0901,0.0666,0.043,0.042,0.0314,0.0309,0.0277,0.0273,0.0107,0.0005,0.0195,0.0145,7.58
2016-08-09,CTD5,4179450,700268,0.1245,0.1004,0.0771,0.0413,0.0339,0.032,0.0293,0.0262,0.0264,0.0082,0.0007,0.0167,0.0137,0.285
2016-08-09,CTD6,4176009,695829,0.1171,0.0881,0.0651,0.0413,0.0349,0.028,0.0259,0.0243,0.0221,0.007,0.0006,0.0129,0.0096,9.52
2016-08-09,CTD7,4176724,690397,0.1219,0.0953,0.0755,0.0527,0.0456,0.0357,0.0359,0.0315,0.0306,0.0088,0.0007,0.0193,0.0155,10.94
2016-08-09,CTD8,4174178,693048,0.1178,0.0891,0.0695,0.0414,0.0359,0.0272,0.0245,0.0225,0.0224,0.0069,0.0005,0.0117,0.0085,12.84
2016-08-09,CTD9,4171106,693183,0.123,0.0984,0.0846,0.0574,0.0497,0.0373,0.0354,0.0313,0.0315,0.0093,0.0005,0.0215,0.0162,
2016-08-09,CTD10,4170388,695646,0.1199,0.0925,0.0743,0.0492,0.0411,0.0326,0.033,0.0283,0.0267,0.0084,0.0006,0.0167,0.0137,9.75
