Date,Buoy,Chl
2016-06-08,CTD8,4.335
2016-06-29,CTD4,5.875
2016-08-02,CTD1,5.48
2016-08-02,CTD10,7.47
2016-08-02,CTD11,5.94
2016-08-02,CTD12,6.87
2016-08-02,CTD2,5.38
2016-08-02,CTD3,4.63
2016-08-02,CTD4,4.445
2016-08-02,CTD6,5.96
2016-08-02,CTD7,7.285
2016-08-02,CTD8,7.61
2016-08-02,CTD9,24.44
2016-08-04,CTD1,6.635
2016-08-04,CTD10,5.19
2016-08-04,CTD11,5.145
2016-08-04,CTD12,6.0
2016-08-04,CTD2,4.435
2016-08-04,CTD3,3.92
2016-08-04,CTD4,3.995
2016-08-04,CTD6,5.26
2016-08-04,CTD7,5.19
2016-08-04,CTD8,6.07
2016-08-04,CTD9,7.71
2016-08-09,CTD1,6.695
2016-08-09,CTD10,4.015
2016-08-09,CTD11,3.485
2016-08-09,CTD12,4.04
2016-08-09,CTD2,4.53
2016-08-09,CTD3,3.76
2016-08-09,CTD4,3.37
2016-08-09,CTD5,0.125
2016-08-09,CTD6,4.595
2016-08-09,CTD7,5.76
2016-08-09,CTD8,6.02
2016-08-09,CTD9,6.2
2016-08-22,CTD12,6.99
2016-08-25,CTD1,6.21
2016-08-25,CTD10,11.415
2016-08-25,CTD11,8.56
2016-08-25,CTD2,5.855
2016-08-25,CTD3,4.705
2016-08-25,CTD4,3.66
2016-08-25,CTD5,1.1
2016-08-25,CTD6,7.51
2016-08-25,CTD7,8.765
2016-08-25,CTD8,9.0
2016-08-25,CTD9,22.11
2016-08-26,CTD4,4.37
2016-08-27,CTD4,
2016-08-30,CTD1,5.94
2016-08-30,CTD10,7.975
2016-08-30,CTD11,6.83
2016-08-30,CTD2,5.485
2016-08-30,CTD3,4.99
2016-08-30,CTD4,4.23
2016-08-30,CTD5,0.42
2016-08-30,CTD6,5.31
2016-08-30,CTD7,11.25
2016-08-30,CTD8,6.73
2016-08-30,CTD9,12.22
2016-08-31,CTD1,6.24
2016-09-01,CTD1,
2016-09-06,CTD1,4.81
2016-09-06,CTD10,5.4
2016-09-06,CTD11,6.345
2016-09-06,CTD12,3.33
2016-09-06,CTD2,3.5
2016-09-06,CTD3,3.55
2016-09-06,CTD4,3.665
2016-09-06,CTD5,0.28
2016-09-06,CTD6,3.895
2016-09-06,CTD7,6.66
2016-09-06,CTD8,5.725
2016-09-06,CTD9,5.77
2016-09-08,CTD1,4.885
2016-09-08,CTD10,4.565
2016-09-08,CTD11,4.155
2016-09-08,CTD12,3.88
2016-09-08,CTD2,3.945
2016-09-08,CTD3,3.62
2016-09-08,CTD4,3.09
2016-09-08,CTD5,0.105
2016-09-08,CTD6,4.205
2016-09-08,CTD7,4.295
2016-09-08,CTD9,5.55
2016-09-22,CTD1,6.98
2016-09-22,CTD10,9.25
2016-09-22,CTD11,8.245
2016-09-22,CTD2,7.55
2016-09-22,CTD3,6.34
2016-09-22,CTD4,5.825
2016-09-22,CTD5,0.575
2016-09-22,CTD6,5.85
2016-09-22,CTD7,10.09
2016-09-22,CTD8,8.345
2016-09-22,CTD9,9.91
2016-09-29,CTD1,7.205
2016-09-29,CTD10,16.43
2016-09-29,CTD11,10.9
2016-09-29,CTD12,9.695
2016-09-29,CTD2,13.42
2016-09-29,CTD3,6.385
2016-09-29,CTD5,3.475
2016-09-29,CTD6,8.045
2016-09-29,CTD7,11.885
2016-09-29,CTD8,14.675
2016-09-29,CTD9,43.47
2016-10-06,CTD1,6.09
2016-10-06,CTD10,28.865
2016-10-06,CTD11,7.805
2016-10-06,CTD12,8.125
2016-10-06,CTD2,5.665
2016-10-06,CTD3,5.19
2016-10-06,CTD4,5.38
2016-10-06,CTD5,1.49
2016-10-06,CTD6,7.445
2016-10-06,CTD7,6.39
2016-10-06,CTD8,9.245
2016-10-06,CTD9,12.68
2016-10-14,CTD1,5.9
2016-10-14,CTD10,8.605
2016-10-14,CTD11,9.06
2016-10-14,CTD12,8.21
2016-10-14,CTD2,5.27
2016-10-14,CTD3,5.255
2016-10-14,CTD4,5.085
2016-10-14,CTD5,1.195
2016-10-14,CTD6,7.07
2016-10-14,CTD7,8.97
2016-10-14,CTD8,7.16
2016-10-14,CTD9,10.64
2016-10-21,CTD1,5.13
2016-10-21,CTD10,9.225
