Date,Buoy,Chl
2016-06-08,CTD8,4.23
2016-06-29,CTD4,5.87
2016-08-02,CTD1,5.33
2016-08-02,CTD10,7.35
2016-08-02,CTD11,5.91
2016-08-02,CTD12,6.72
2016-08-02,CTD2,5.34
2016-08-02,CTD3,4.5
2016-08-02,CTD4,4.65
2016-08-02,CTD6,5.81
2016-08-02,CTD7,7.33
2016-08-02,CTD8,7.53
2016-08-02,CTD9,24.44
2016-08-04,CTD1,6.75
2016-08-04,CTD10,4.63
2016-08-04,CTD11,4.79
2016-08-04,CTD12,6.09
2016-08-04,CTD2,4.39
2016-08-04,CTD3,3.88
2016-08-04,CTD4,3.54
2016-08-04,CTD6,5.23
2016-08-04,CTD7,5.58
2016-08-04,CTD8,5.8
2016-08-04,CTD9,7.71
2016-08-09,CTD1,6.78
2016-08-09,CTD10,3.72
2016-08-09,CTD11,3.51
2016-08-09,CTD12,3.99
2016-08-09,CTD2,4.53
2016-08-09,CTD3,3.76
2016-08-09,CTD4,3.23
2016-08-09,CTD5,0.12
2016-08-09,CTD6,4.93
2016-08-09,CTD7,5.84
2016-08-09,CTD8,6.09
2016-08-09,CTD9,6.2
2016-08-22,CTD12,6.77
2016-08-25,CTD1,6.29
2016-08-25,CTD10,11.39
2016-08-25,CTD11,7.4
2016-08-25,CTD2,6.17
2016-08-25,CTD3,4.77
2016-08-25,CTD4,3.66
2016-08-25,CTD5,1.06
2016-08-25,CTD6,7.41
2016-08-25,CTD7,8.48
2016-08-25,CTD8,8.75
2016-08-25,CTD9,22.11
2016-08-26,CTD4,
2016-08-27,CTD4,
2016-08-30,CTD1,5.94
2016-08-30,CTD10,7.72
2016-08-30,CTD11,6.48
2016-08-30,CTD2,5.41
2016-08-30,CTD3,5.0
2016-08-30,CTD4,4.27
2016-08-30,CTD5,0.44
2016-08-30,CTD6,5.4
2016-08-30,CTD7,10.93
2016-08-30,CTD8,6.48
2016-08-30,CTD9,12.22
2016-08-31,CTD1,
2016-09-01,CTD1,
2016-09-06,CTD1,4.81
2016-09-06,CTD10,5.35
2016-09-06,CTD11,6.22
2016-09-06,CTD12,3.33
2016-09-06,CTD2,3.48
2016-09-06,CTD3,3.6
2016-09-06,CTD4,3.67
2016-09-06,CTD5,
2016-09-06,CTD6,3.96
2016-09-06,CTD7,6.71
2016-09-06,CTD8,5.75
2016-09-06,CTD9,5.77
2016-09-08,CTD1,4.91
2016-09-08,CTD10,4.42
2016-09-08,CTD11,3.03
2016-09-08,CTD12,3.69
2016-09-08,CTD2,3.95
2016-09-08,CTD3,3.56
2016-09-08,CTD4,2.59
2016-09-08,CTD5,0.04
2016-09-08,CTD6,4.13
2016-09-08,CTD7,4.29
2016-09-08,CTD9,5.55
2016-09-22,CTD1,6.84
2016-09-22,CTD10,9.25
2016-09-22,CTD11,6.81
2016-09-22,CTD2,8.81
2016-09-22,CTD3,5.97
2016-09-22,CTD4,4.49
2016-09-22,CTD5,0.97
2016-09-22,CTD6,5.71
2016-09-22,CTD7,7.93
2016-09-22,CTD8,8.3
2016-09-22,CTD9,9.91
2016-09-29,CTD1,6.75
2016-09-29,CTD10,16.35
2016-09-29,CTD11,10.67
2016-09-29,CTD12,9.23
2016-09-29,CTD2,13.17
2016-09-29,CTD3,6.05
2016-09-29,CTD5,3.39
2016-09-29,CTD6,7.93
2016-09-29,CTD7,12.06
2016-09-29,CTD8,14.17
2016-09-29,CTD9,43.47
2016-10-06,CTD1,6.25
2016-10-06,CTD10,28.88
2016-10-06,CTD11,7.27
2016-10-06,CTD12,8.12
2016-10-06,CTD2,5.86
2016-10-06,CTD3,5.14
2016-10-06,CTD4,5.16
2016-10-06,CTD5,1.83
2016-10-06,CTD6,7.36
2016-10-06,CTD7,6.51
2016-10-06,CTD8,9.07
2016-10-06,CTD9,12.68
2016-10-14,CTD1,6.0
2016-10-14,CTD10,8.57
2016-10-14,CTD11,9.68
2016-10-14,CTD12,7.92
2016-10-14,CTD2,5.25
2016-10-14,CTD3,5.27
2016-10-14,CTD4,5.15
2016-10-14,CTD5,1.45
2016-10-14,CTD6,6.83
2016-10-14,CTD7,8.76
2016-10-14,CTD8,7.26
2016-10-14,CTD9,10.64
2016-10-21,CTD1,5.06
2016-10-21,CTD10,9.19
2016-10-21,CTD11,6.5
2016-10-21,CTD12,6.6
2016-10-21,CTD2,5.06
2016-10-21,CTD3,4.96
2016-10-21,CTD4,4.86
2016-10-21,CTD5,0.45
2016-10-21,CTD6,5.7
2016-10-21,CTD7,5.99
2016-10-21,CTD8,7.06
2016-10-21,CTD9,9.0
2016-10-28,CTD1,4.26
2016-10-28,CTD10,7.74
2016-10-28,CTD11,5.16
2016-10-28,CTD12,6.76
2016-10-28,CTD2,5.19
2016-10-28,CTD3,5.08
2016-10-28,CTD4,4.77
2016-10-28,CTD5,1.62
2016-10-28,CTD6,6.29
2016-10-28,CTD7,7.6
2016-10-28,CTD8,6.29
2016-10-28,CTD9,11.51
2016-11-03,CTD1,3.99
2016-11-03,CTD10,4.1
2016-11-03,CTD11,4.31
2016-11-03,CTD12,4.3
2016-11-03,CTD2,5.87
2016-11-03,CTD3,6.22
2016-11-03,CTD4,3.33
2016-11-03,CTD5,0.57
2016-11-03,CTD6,4.7
2016-11-03,CTD7,9.85
2016-11-03,CTD8,6.01
2016-11-03,CTD9,5.97
2016-11-11,CTD1,3.94
2016-11-11,CTD10,6.16
2016-11-11,CTD11,6.77
2016-11-11,CTD12,7.12
2016-11-11,CTD2,4.38
2016-11-11,CTD3,5.18
