Date,Buoy,Chl
2016-06-08,CTD8,4.533
2016-06-29,CTD4,5.927
2016-08-02,CTD1,5.6
2016-08-02,CTD10,7.73
2016-08-02,CTD11,6.07
2016-08-02,CTD12,6.96
2016-08-02,CTD2,5.483
2016-08-02,CTD3,4.723
2016-08-02,CTD4,4.57
2016-08-02,CTD6,6.067
2016-08-02,CTD7,7.347
2016-08-02,CTD8,7.717
2016-08-02,CTD9,24.44
2016-08-04,CTD1,6.713
2016-08-04,CTD10,5.543
2016-08-04,CTD11,5.407
2016-08-04,CTD12,6.02
2016-08-04,CTD2,4.603
2016-08-04,CTD3,3.937
2016-08-04,CTD4,4.153
2016-08-04,CTD6,5.36
2016-08-04,CTD7,5.193
2016-08-04,CTD8,6.44
2016-08-04,CTD9,7.71
2016-08-09,CTD1,6.76
2016-08-09,CTD10,4.25
2016-08-09,CTD11,3.64
2016-08-09,CTD12,4.187
2016-08-09,CTD2,4.713
2016-08-09,CTD3,3.853
2016-08-09,CTD4,3.567
2016-08-09,CTD5,0.1265
2016-08-09,CTD6,4.473
2016-08-09,CTD7,5.82
2016-08-09,CTD8,6.113
2016-08-09,CTD9,6.2
2016-08-22,CTD12,7.18
2016-08-25,CTD1,6.43
2016-08-25,CTD10,11.53
2016-08-25,CTD11,9.24
2016-08-25,CTD2,5.927
2016-08-25,CTD3,4.79
2016-08-25,CTD4,3.66
2016-08-25,CTD5,1.1085
2016-08-25,CTD6,7.733
2016-08-25,CTD7,8.967
2016-08-25,CTD8,9.257
2016-08-25,CTD9,22.11
2016-08-26,CTD4,4.37
2016-08-27,CTD4,5.35
2016-08-30,CTD1,5.94
2016-08-30,CTD10,8.12
2016-08-30,CTD11,7.087
2016-08-30,CTD2,5.53
2016-08-30,CTD3,4.957
2016-08-30,CTD4,4.227
2016-08-30,CTD5,0.4635
2016-08-30,CTD6,5.45
2016-08-30,CTD7,11.473
2016-08-30,CTD8,6.843
2016-08-30,CTD9,12.22
2016-08-31,CTD1,6.24
2016-09-01,CTD1,7.0
2016-09-06,CTD1,4.83
2016-09-06,CTD10,5.627
2016-09-06,CTD11,6.52
2016-09-06,CTD12,3.33
2016-09-06,CTD2,3.67
2016-09-06,CTD3,3.7
2016-09-06,CTD4,3.857
2016-09-06,CTD5,0.28
2016-09-06,CTD6,4.043
2016-09-06,CTD7,6.87
2016-09-06,CTD8,5.873
2016-09-06,CTD9,5.77
2016-09-08,CTD1,4.907
2016-09-08,CTD10,4.837
2016-09-08,CTD11,4.88
2016-09-08,CTD12,3.983
2016-09-08,CTD2,4.06
